年份,季度,完整季度标识,帖子数量,热词_1,热词_2,热词_3,热词_4,热词_5,热词_6,热词_7,热词_8,热词_9,热词_10,热词_11,热词_12,热词_13,热词_14,热词_15,热词_16,热词_17,热词_18,热词_19,热词_20
2020,Q2,2020Q2,42,风味 (20),luckin (16),瑞纳冰 (14),瑞幸 (13),好喝 (12),系列 (12),桃子 (12),草莓 (11),清新 (11),夏天 (10),一口 (10),新品 (9),陨石 (9),寒天 (9),经典 (9),你好 (8),桃桃 (8),湿巾 (7),搭配 (7),套餐 (7)
2020,Q3,2020Q3,36,咖啡 (85),瑞幸 (76),风味 (40),品牌 (36),luckincoffee (31),瑞纳冰 (22),下午茶 (20),小鹿 (18),巧克力 (17),冰萃 (17),乳拿铁 (16),陨石 (16),惊喜 (16),大福 (16),经典 (14),luckin (14),美式 (14),口感 (13),新品 (13),芝士 (13)
2020,Q4,2020Q4,48,咖啡 (172),瑞幸 (145),luckin (83),圣诞 (75),乳拿铁 (65),品牌 (55),luckincoffee (50),风味 (49),限定 (36),姜饼 (35),小尾巴 (34),奶茶 (32),coffee (29),小鹿 (27),还有 (25),芋泥 (25),饮品 (24),陨石 (24),一起 (23),耶加雪菲 (22)
2021,Q1,2021Q1,40,瑞幸 (158),咖啡 (138),樱花 (61),品牌 (58),樱花季 (55),luckin (40),luckincoffee (40),风味 (38),限定 (35),春日 (33),小鹿 (22),燕麦 (21),金奖 (21),咖啡豆 (20),LINE (20),参与 (18),FRIENDS (17),IIAC (16),吸管 (16),材质 (16)
2021,Q2,2021Q2,36,瑞幸 (114),咖啡 (93),瑞纳冰 (62),夏日 (53),杨枝 (43),甘露 (43),luckincoffee (36),品牌 (36),风味 (32),打卡 (31),芒果 (29),牛油果 (28),系列 (28),酸奶 (25),新品 (23),芝士 (23),桃桃 (23),云南 (22),哈斯 (21),杨梅 (21)
2021,Q3,2021Q3,43,瑞幸 (156),咖啡 (82),瑞纳冰 (55),新品 (47),葡萄 (40),系列 (39),芝士 (36),丝绒 (31),一口 (27),桂花 (27),打卡 (26),陨石 (26),夏日 (24),一杯 (23),乳拿铁 (23),好喝 (21),半熟 (20),杨梅 (17),车厘子 (17),酸奶 (16)
2021,Q4,2021Q4,51,瑞幸 (214),咖啡 (103),圣诞 (73),新品 (45),奶茶 (41),种草 (39),口感 (36),奶油 (32),热饮 (32),一杯 (26),丝绒 (22),一口 (21),中奖 (20),乳拿铁 (20),一起 (20),芝士 (19),糊糊 (18),摩卡 (18),参与 (17),打卡 (17)
2022,Q1,2022Q1,81,瑞幸 (280),咖啡 (150),新品 (65),谷爱凌 (47),樱花季 (42),种草 (35),草莓 (27),饮品 (25),樱花 (23),打卡 (20),口感 (17),虎年 (16),丝绒 (15),点亮 (14),勋章 (14),dirty (14),壁纸 (13),一杯 (13),还有 (13),冰雪 (13)
2022,Q2,2022Q2,108,瑞幸 (368),咖啡 (180),新品 (77),椰云 (55),夏日 (34),瑞纳冰 (32),咖季 (20),联名 (19),椰树 (18),鹿卡龙 (17),风味 (17),气泡 (17),谷爱凌 (17),芝士 (16),云南 (16),一杯 (16),种草 (16),系列 (16),口感 (15),一口 (15)
2022,Q3,2022Q3,108,瑞幸 (414),咖啡 (179),新品 (82),纸袋 (50),七夕 (47),限定 (38),丝绒 (31),甜品 (25),联名 (25),冰萃 (24),喜欢 (23),悲伤 (23),口感 (22),芝士 (20),种草 (19),瑞纳冰 (19),海盐 (18),DIY (17),一口 (17),打工 (17)
2022,Q4,2022Q4,99,瑞幸 (456),咖啡 (167),圣诞 (97),生酪 (70),纸袋 (62),新品 (60),种草 (31),DIY (28),限定 (25),dirty (23),太妃 (22),乳拿铁 (21),甜品 (20),一起 (19),手工 (19),香厚 (19),JOJO (19),人们 (18),芝士 (17),改造 (17)
